"Name","Extension","Size","LastWriteTime","FullName"
"$RX97ERO.run",".run","4454353277","2024-02-28T19:51:15.0000000-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RX97ERO.run"
"$RAR8AW8.sh",".sh","85771392","2026-01-15T00:32:03.0727871-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RAR8AW8.sh"
"$RELBSYV.exe",".exe","64726505","2026-01-15T14:59:42.1781399-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RELBSYV.exe"
"$RBTJ3HX.zip",".zip","18887546","2026-01-13T00:50:11.0000000-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RBTJ3HX.zip"
"$RQTYUDP.exe",".exe","7560544","2026-01-15T19:15:05.0000000-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQTYUDP.exe"
"$ROFJGVH","","7560544","2026-01-15T19:15:05.0000000-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROFJGVH"
"$RVDMJQS","","7462280","2026-01-15T14:18:26.0000000-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RVDMJQS"
"$RN0X1AQ","","4383864","2026-01-13T02:52:40.8975661-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RN0X1AQ"
"$R8FSFZC.pdb",".pdb","1413120","2026-01-23T23:04:35.1245166-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R8FSFZC.pdb"
"$RRERWXX.json",".json","248268","2026-01-15T22:25:29.1218261-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RRERWXX.json"
"$RZZD9TW.lock",".lock","174138","2026-01-23T11:39:49.8270681-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RZZD9TW.lock"
"$R195Q4A.lock",".lock","126181","2026-01-16T18:47:13.6323719-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R195Q4A.lock"
"$RCG7OP3.ps1",".ps1","97723","2026-01-24T00:10:12.4023972-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RCG7OP3.ps1"
"$RUSG1XN.ps1",".ps1","78915","2026-01-24T00:14:55.3581989-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RUSG1XN.ps1"
"$RS0T37X.ps1",".ps1","71307","2026-01-15T16:05:36.4477699-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RS0T37X.ps1"
"$RD55J13.json",".json","67592","2026-01-15T22:52:14.8932160-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RD55J13.json"
"$RHWEDSR.rs",".rs","60716","2026-01-16T02:45:35.8595069-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RHWEDSR.rs"
"$RGJOY7R.md",".md","44111","2026-01-23T11:39:49.3398203-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RGJOY7R.md"
"$RDZ721B.rs",".rs","34548","2026-01-13T02:52:40.4695665-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RDZ721B.rs"
"$RZDL85R.json",".json","34419","2026-01-15T23:23:55.9003474-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RZDL85R.json"
"$RDG7365.py",".py","27122","2026-01-23T11:39:49.6862214-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RDG7365.py"
"$RVT4H6I.ps1",".ps1","22361","2026-01-15T16:56:33.2702335-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RVT4H6I.ps1"
"$RGURKQQ.ps1",".ps1","20495","2026-01-16T01:50:24.8149290-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RGURKQQ.ps1"
"$RRZ4DS0.ps1",".ps1","20204","2026-01-16T07:36:33.9623880-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RRZ4DS0.ps1"
"$ROEFXDQ.chpl",".chpl","20092","2026-01-18T05:13:04.4437033-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROEFXDQ.chpl"
"$RNG10VE.ps1",".ps1","20077","2026-01-16T07:33:42.3464837-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RNG10VE.ps1"
"$R2IHHGC.md",".md","19371","2026-01-23T11:39:49.3358095-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R2IHHGC.md"
"$RTZZ3K0.ps1",".ps1","18961","2026-01-23T19:42:15.8624902-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RTZZ3K0.ps1"
"$RQM5BO5.md",".md","18505","2026-01-23T11:39:49.3342509-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQM5BO5.md"
"$ROIBVMN.py",".py","18319","2026-01-17T00:40:16.3206656-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$ROIBVMN.py"
"$RL8AES8.py",".py","18319","2026-01-13T02:52:40.9050539-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RL8AES8.py"
"$R6YBMDK.ps1",".ps1","17671","2026-01-15T22:55:09.1608574-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R6YBMDK.ps1"
"$R8RFQPF.html",".html","17425","2026-01-14T23:19:27.3377392-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R8RFQPF.html"
"$R1BFCEH.ps1",".ps1","17402","2026-01-15T22:25:18.7126309-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R1BFCEH.ps1"
"$R0E8UTY.ps1",".ps1","16214","2026-01-15T17:16:18.0885004-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R0E8UTY.ps1"
"$RBY07ON.md",".md","15914","2026-01-24T00:04:36.2083149-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RBY07ON.md"
"$RQH42WK.md",".md","15719","2026-01-24T00:02:55.7929190-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQH42WK.md"
"$RAG0YHP.md",".md","15564","2026-01-16T02:45:24.4921130-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RAG0YHP.md"
"$RFJ3CQL.py",".py","15190","2026-01-23T11:39:49.8280581-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RFJ3CQL.py"
"$RH6V6YZ.ps1",".ps1","15107","2026-01-16T07:33:42.3464837-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RH6V6YZ.ps1"
"$RD4TLRR.py",".py","14882","2026-01-23T11:39:49.6832221-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RD4TLRR.py"
"$RORHH14.txt",".txt","14841","2026-01-18T09:21:15.8800372-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RORHH14.txt"
"$RMFGTW3.py",".py","14815","2026-01-23T20:12:20.6125169-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RMFGTW3.py"
"$RA6M4ZQ.ps1",".ps1","14296","2026-01-24T00:40:43.1468919-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RA6M4ZQ.ps1"
"$RB6QAJC.py",".py","14231","2026-01-23T22:15:32.1627048-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RB6QAJC.py"
"$RKHNR3W.ps1",".ps1","13798","2026-01-15T19:29:55.8754962-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RKHNR3W.ps1"
"$RHBEGZN.ps1",".ps1","13625","2026-01-15T22:28:38.1338639-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RHBEGZN.ps1"
"$RUGH02K.py",".py","13589","2026-01-23T20:10:33.7329133-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RUGH02K.py"
"$RRY67CL.py",".py","13411","2026-01-13T02:52:40.9098303-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RRY67CL.py"
"$RSPU3YU.py",".py","13411","2026-01-17T00:40:16.3233157-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RSPU3YU.py"
"$RAC9DA4.backup",".backup","13362","2026-01-15T22:36:20.0426124-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RAC9DA4.backup"
"$R1JB5HU.py",".py","13156","2026-01-16T05:54:29.1829762-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R1JB5HU.py"
"$RPLNSHO.ps1",".ps1","13114","2026-01-15T19:29:55.8426264-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RPLNSHO.ps1"
"$RMGGOYI.md",".md","13068","2026-01-23T11:39:49.8201825-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RMGGOYI.md"
"$RP4690V.ps1",".ps1","13049","2026-01-15T22:51:36.6129005-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RP4690V.ps1"
"$RXPNCTH.py",".py","12985","2026-01-23T20:12:47.1925653-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RXPNCTH.py"
"$RAUPM1P.py",".py","12838","2026-01-23T11:39:49.8208119-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RAUPM1P.py"
"$R96YF08.ps1",".ps1","12693","2026-01-16T01:17:43.5112114-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R96YF08.ps1"
"$R57P5UJ.json",".json","12390","2026-01-18T13:50:10.9178511-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R57P5UJ.json"
"$R73F0ZI.py",".py","12080","2026-01-17T00:40:16.3193661-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R73F0ZI.py"
"$RSGG7OZ.py",".py","12080","2026-01-13T02:52:40.9042181-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RSGG7OZ.py"
"$RVI551T.ps1",".ps1","11768","2026-01-17T00:14:52.1511261-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RVI551T.ps1"
"$RN2NH3H.py",".py","11663","2026-01-23T11:39:49.7920928-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RN2NH3H.py"
"$RJ4TMAB.sh",".sh","11658","2026-01-13T01:09:16.4212678-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RJ4TMAB.sh"
"$RTM5WRM.ps1",".ps1","11542","2026-01-15T17:16:18.0885004-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RTM5WRM.ps1"
"$R1FBJMD.json",".json","11463","2026-01-15T18:22:31.0028756-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$R1FBJMD.json"
"$RQ705ST.ps1",".ps1","11333","2026-01-16T00:26:50.9253925-06:00","D:\$RECYCLE.BIN\S-1-5-21-741873480-958676864-519521001-1001\$RQ705ST.ps1"
